Province and Territory,Date,Minimum Wage
Alberta,1-Sep-13,9.95
Alberta,1-Sep-12,9.75
Alberta,1-Sep-11,9.40
Alberta,1-Apr-09,8.80
Alberta,1-Apr-08,8.40
Alberta,1-Sep-07,8.00
Alberta,1-Sep-05,7.00
Alberta,1-Oct-99,5.90
Alberta,1-Apr-99,5.65
Alberta,1-Oct-98,5.40
Alberta,1-Apr-92,5.00
Alberta,1-Sep-88,4.50
Alberta,1-May-81,3.80
Alberta,1-May-80,3.50
Alberta,1-Mar-77,3.00
Alberta,1-Mar-76,2.75
Alberta,1-Jul-75,2.50
Alberta,1-Jan-75,2.25
Alberta,1-Apr-74,2.00
Alberta,1-Oct-73,1.90
Alberta,1-Jan-73,1.75
Alberta,1-Oct-70,1.55
Alberta,1-Apr-70,1.40
Alberta,1-Jan-68,1.25
Alberta,1-Aug-67,1.15
Alberta,1-Jul-66,1.00
Alberta,1-Jan-65,1.00
Prince Edward Island,1-Apr-12,10.00
Prince Edward Island,1-Oct-11,9.60
Prince Edward Island,1-Jun-11,9.30
Prince Edward Island,1-Oct-10,9.00
Prince Edward Island,1-Jun-10,8.70
Prince Edward Island,1-Oct-09,8.40
Prince Edward Island,1-Jun-09,8.20
Prince Edward Island,1-Oct-08,8.00
Prince Edward Island,1-May-08,7.75
Prince Edward Island,1-Apr-07,7.50
Prince Edward Island,1-Apr-06,7.15
Prince Edward Island,1-Jan-05,6.80
Prince Edward Island,1-Jan-04,6.50
Prince Edward Island,1-Jan-03,6.25
Prince Edward Island,1-Jan-02,6.00
Prince Edward Island,1-Jan-01,5.80
Prince Edward Island,1-Jan-00,5.60
Prince Edward Island,1-Sep-97,5.40
Prince Edward Island,1-Sep-96,5.15
Prince Edward Island,1-Apr-91,4.75
Prince Edward Island,1-Apr-89,4.50
Prince Edward Island,1-Oct-88,4.25
Prince Edward Island,1-Oct-85,4.00
Prince Edward Island,1-Oct-82,3.75
Prince Edward Island,1-Jul-81,3.30
Prince Edward Island,1-Jul-80,3.00
Prince Edward Island,26-Nov-78,2.75
Prince Edward Island,1-Jul-77,2.70
Prince Edward Island,1-Jul-76,2.50
Prince Edward Island,1-Oct-75,2.30
Prince Edward Island,1-Jan-75,2.05
Prince Edward Island,1-Jul-74,1.75
Prince Edward Island,1-Jan-74,1.65
Prince Edward Island,1-Jul-73,1.40
Prince Edward Island,1-Sep-69,1.25
Prince Edward Island,16-Apr-66,1.10
Prince Edward Island,1-Jan-65,1.00
Quebec,1-May-13,10.15
Quebec,1-May-12,9.90
Quebec,1-May-11,9.65
Quebec,1-May-10,9.50
Quebec,1-May-08,8.50
Quebec,1-May-07,8.00
Quebec,1-May-06,7.75
Quebec,1-May-05,7.60
Quebec,1-May-04,7.45
Quebec,1-Feb-03,7.30
Quebec,1-Oct-02,7.20
Quebec,1-Feb-01,7.00
Quebec,1-Oct-98,6.90
Quebec,1-Oct-97,6.80
Quebec,1-Oct-96,6.70
Quebec,1-Oct-95,6.45
Quebec,1-Oct-94,6.00
Quebec,1-Oct-93,5.85
Quebec,1-Oct-92,5.70
Quebec,1-Oct-91,5.55
Quebec,1-Oct-90,5.30
Quebec,1-Oct-89,5.00
Quebec,1-Oct-88,4.75
Quebec,1-Oct-87,4.55
Quebec,1-Oct-86,4.35
Quebec,1-Oct-81,4.00
Quebec,1-Apr-81,3.85
Quebec,1-Apr-80,3.65
Quebec,1-Apr-79,3.47
Quebec,1-Oct-78,3.37
Quebec,1-Jan-78,3.27
Quebec,1-Jul-77,3.15
Quebec,1-Jan-77,3.00
Quebec,1-Jul-76,2.87
Quebec,1-Dec-75,2.80
Quebec,1-Jun-75,2.60
Quebec,1-Nov-74,2.30
Quebec,1-May-74,2.10
Quebec,1-Nov-73,1.85
Quebec,1-May-73,1.70
Quebec,1-Nov-72,1.65
Quebec,1-Aug-72,1.60
Quebec,1-Nov-71,1.50
Quebec,1-May-71,1.45
Quebec,1-Nov-70,1.40
Quebec,1-Nov-68,1.25
Quebec,1-Apr-67,1.05
Quebec,1-Nov-66,1.00
Quebec,1-Oct-65,0.85
Saskatchewan,1-Dec-12,10.00
Saskatchewan,1-Sep-11,9.50
Saskatchewan,1-May-09,9.25
Saskatchewan,1-May-08,8.60
Saskatchewan,1-Jan-08,8.25
Saskatchewan,1-Mar-07,7.95
Saskatchewan,1-Mar-06,7.55
Saskatchewan,1-Sep-05,7.05
Saskatchewan,1-Nov-02,6.65
Saskatchewan,1-May-02,6.35
Saskatchewan,1-Jan-99,6.00
Saskatchewan,1-Dec-96,5.60
Saskatchewan,1-Dec-92,5.35
Saskatchewan,1-Jul-90,5.00
Saskatchewan,1-Jan-90,4.75
Saskatchewan,1-Aug-85,4.50
Saskatchewan,1-Jan-82,4.25
Saskatchewan,1-Jul-81,4.00
Saskatchewan,1-Jan-81,3.85
Saskatchewan,1-May-80,3.65
Saskatchewan,1-Oct-79,3.50
Saskatchewan,30-Jun-78,3.25
Saskatchewan,31-Jan-78,3.15
Saskatchewan,1-Jan-77,3.00
Saskatchewan,1-Jan-76,2.80
Saskatchewan,31-Mar-75,2.50
Saskatchewan,2-Jul-74,2.25
Saskatchewan,1-Dec-73,2.00
Saskatchewan,1-Jul-72,1.75
Saskatchewan,2-Jan-72,1.70
Saskatchewan,1-Jun-71,1.50
Saskatchewan,1-Oct-69,1.25
Saskatchewan,1-Oct-68,1.05 
Yukon,1-Apr-13,10.54
Yukon,1-May-12,10.30
Yukon,1-Apr-12,9.27
Yukon,1-Apr-11,9.00
Yukon,1-Apr-10,8.93
Yukon,1-Apr-09,8.89
Yukon,1-Apr-08,8.58
Yukon,1-May-06,8.25
Yukon,1-Oct-98,7.20
Yukon,1-Apr-98,7.06
Yukon,1-Oct-95,6.86
Yukon,1-Oct-94,6.72
Yukon,1-Apr-91,6.24
Yukon,1-Apr-90,5.97
Yukon,1-May-88,5.39
Yukon,1-May-87,4.75
Yukon,1-Jan-85,4.25
Yukon,1-May-81,3.60
Yukon,1-Dec-80,3.35
Yukon,1-Apr-76,3.00
Yukon,23-Jul-75,2.70
Yukon,1-Apr-74,2.30
Yukon,1-Jun-73,2.00
Yukon,1-Jan-72,1.75
Yukon,1-May-70,1.50
Yukon,1-Jul-68,1.25
British Columbia,2012,10.25
British Columbia,2011,9.50
British Columbia,2001,8.00
British Columbia,2000,7.60
British Columbia,1998,7.15
British Columbia,1995,7.00
British Columbia,1993,6.00
British Columbia,1992,5.50
British Columbia,1990,5.00
British Columbia,1989,4.75
British Columbia,1988,4.50
British Columbia,1980,3.65
British Columbia,1976,3.00
British Columbia,1975,2.75
British Columbia,1974,2.50
British Columbia,1973,2.25
British Columbia,1972,2.00
British Columbia,1970,1.50
British Columbia,1967,1.25
British Columbia,1966,1.00
Manitoba,1-Oct-13,10.45
Manitoba,1-Oct-12,10.25
Manitoba,1-Oct-11,10.00
Manitoba,1-Oct-10,9.50
Manitoba,1-Oct-09,9.00
Manitoba,1-May-09,8.75
Manitoba,1-Apr-08,8.50
Manitoba,1-Apr-07,8.00
Manitoba,1-Apr-06,7.60
Manitoba,1-Apr-05,7.25
Manitoba,1-Apr-04,7.00
Manitoba,1-Apr-03,6.75
Manitoba,1-Apr-02,6.50
Manitoba,1-Apr-01,6.25
Manitoba,1-Apr-99,6.00
Manitoba,1-Jan-96,5.40
Manitoba,1-Jul-95,5.25
Manitoba,1-Mar-91,5.00
Manitoba,1-Sep-87,4.70
Manitoba,1-Apr-87,4.50
Manitoba,1-Jan-85,4.30
Manitoba,1-Jul-82,4.00
Manitoba,1-Sep-81,3.55
Manitoba,1-Mar-81,3.35
Manitoba,1-Jan-80,3.15
Manitoba,1-Jul-79,3.05
Manitoba,1-Sep-76,2.95
Manitoba,1-Oct-75,2.60
Manitoba,1-Jan-75,2.30
Manitoba,1-Jul-74,2.15
Manitoba,1-Oct-73,1.90
Manitoba,1-Oct-72,1.75
Manitoba,1-Nov-71,1.65
Manitoba,1-Oct-70,1.50
Manitoba,1-Dec-69,1.35
Manitoba,1-Dec-68,1.25
Manitoba,1-Aug-68,1.20
Manitoba,1-Apr-68,1.15
Manitoba,1-Dec-67,1.10
Manitoba,1-Dec-66,1.00
Manitoba,1-Jul-66,0.92
Manitoba,1-Jul-66,0.90
Manitoba,1-Dec-65,0.85
Manitoba,1-Jan-65,0.75
New Brunswick,1-Apr-12,10.00
New Brunswick,1-Apr-11,9.50
New Brunswick,1-Sep-10,9.00
New Brunswick,1-Apr-10,8.50
New Brunswick,1-Sep-09,8.25
New Brunswick,15-Apr-09,8.00
New Brunswick,31-Mar-08,7.75
New Brunswick,1-Jul-07,7.25
New Brunswick,5-Jan-07,7.00
New Brunswick,1-Jul-06,6.70
New Brunswick,1-Jan-06,6.50
New Brunswick,1-Jan-05,6.30
New Brunswick,1-Jan-04,6.20
New Brunswick,1-Aug-02,6.00
New Brunswick,1-Jul-01,5.90
New Brunswick,1-Jan-00,5.75
New Brunswick,1-Jul-96,5.50
New Brunswick,1-Jan-96,5.25
New Brunswick,1-Oct-91,5.00
New Brunswick,1-Oct-90,4.75
New Brunswick,1-Oct-89,4.50
New Brunswick,1-Apr-89,4.25
New Brunswick,15-Sep-86,4.00
New Brunswick,1-Oct-82,3.80
New Brunswick,1-Oct-80,3.35
New Brunswick,1-Jul-80,3.05
New Brunswick,1-Nov-76,2.80
New Brunswick,1-Jun-76,2.55
New Brunswick,1-Jul-75,2.30
New Brunswick,1-Jan-75,2.15
New Brunswick,1-Jul-74,1.90
New Brunswick,1-Jan-74,1.75
New Brunswick,1-Jan-73,1.50
New Brunswick,1-Mar-72,1.40
New Brunswick,1-Sep-71,1.25
New Brunswick,1-Jan-70,1.15
New Brunswick,1-Jan-68,1.00
New Brunswick,1-Jul-66,0.90
New Brunswick,1-Jul-65,0.80
Newfoundland and Labrador,1-Jul-10,10.00
Newfoundland and Labrador,1-Jan-10,9.50
Newfoundland and Labrador,1-Jul-09,9.00
Newfoundland and Labrador,1-Jan-09,8.50
Newfoundland and Labrador,1-Apr-08,8.00
Newfoundland and Labrador,1-Oct-07,7.50
Newfoundland and Labrador,1-Jan-07,7.00
Newfoundland and Labrador,1-Jun-06,6.75
Newfoundland and Labrador,1-Jan-06,6.50
Newfoundland and Labrador,1-Jun-05,6.25
Newfoundland and Labrador,1-Nov-02,6.00
Newfoundland and Labrador,1-May-02,5.75
Newfoundland and Labrador,1-Oct-99,5.50
Newfoundland and Labrador,1-Apr-97,5.25
Newfoundland and Labrador,1-Sep-96,5.00
Newfoundland and Labrador,1-Apr-91,4.75
Newfoundland and Labrador,1-Apr-88,4.25
Newfoundland and Labrador,1-Jan-85,4.00
Newfoundland and Labrador,1-Jan-83,3.75
Newfoundland and Labrador,31-Mar-81,3.45
Newfoundland and Labrador,1-Jul-80,3.15
Newfoundland and Labrador,1-Jun-79,2.80
Newfoundland and Labrador,1-Jan-76,2.50
Newfoundland and Labrador,1-Jan-75,2.20
Newfoundland and Labrador,1-Jul-74,2.00
Newfoundland and Labrador,1-Jan-74,1.80
Newfoundland and Labrador,1-Jun-72,1.40
Newfoundland and Labrador,1-Jul-70,1.25
Newfoundland and Labrador,1-May-68,1.10
Newfoundland and Labrador,1-Jan-65,0.70
Northwest Territories,1-Apr-11,10.00
Northwest Territories,1-Apr-10,9.00
Northwest Territories,28-Dec-03,8.25
Northwest Territories,1-Apr-91,7.00
Northwest Territories,1-Apr-91,6.50
Northwest Territories,1-Apr-91,6.00
Northwest Territories,1-Apr-86,5.00
Northwest Territories,1-Aug-82,4.25
Northwest Territories,15-May-80,3.50
Northwest Territories,1-Jun-76,3.00
Northwest Territories,1-Apr-74,2.50
Northwest Territories,1-Sep-73,2.00
Northwest Territories,1-Sep-70,1.50
Northwest Territories,1-Jul-68,1.25
Nova Scotia,1-Apr-13,10.30
Nova Scotia,1-Apr-12,10.15
Nova Scotia,1-Oct-11,10.00
Nova Scotia,1-Oct-10,9.65
Nova Scotia,1-Apr-10,9.20
Nova Scotia,1-Apr-09,8.60
Nova Scotia,1-May-08,8.10
Nova Scotia,1-May-07,7.60
Nova Scotia,1-Apr-06,7.15
Nova Scotia,1-Oct-05,6.80
Nova Scotia,1-Apr-04,6.50
Nova Scotia,1-Oct-03,6.25
Nova Scotia,1-Oct-02,6.00
Nova Scotia,1-Oct-01,5.80
Nova Scotia,1-Oct-00,5.70
Nova Scotia,1-Oct-99,5.60
Nova Scotia,1-Feb-97,5.50
Nova Scotia,1-Oct-96,5.35
Nova Scotia,1-Jan-93,5.15
Nova Scotia,1-Jan-92,5.00
Nova Scotia,1-Oct-91,4.75
Nova Scotia,1-Jan-89,4.50
Nova Scotia,1-Jan-85,4.00
Nova Scotia,1-Oct-82,3.75
Nova Scotia,1-Oct-81,3.30
Nova Scotia,1-Oct-80,3.00
Nova Scotia,1-Jan-77,2.75
Nova Scotia,1-Jan-76,2.50
Nova Scotia,1-Mar-75,2.25
Nova Scotia,1-Jan-75,2.20
Nova Scotia,1-Oct-74,2.00
Nova Scotia,1-Jul-74,1.80
Nova Scotia,1-Jul-73,1.65
Nova Scotia,1-Jul-72,1.55
Nova Scotia,1-Jul-71,1.35
Nova Scotia,1-Jan-71,1.30
Nova Scotia,1-Aug-68,1.25
Nova Scotia,1-Apr-68,1.15
Nova Scotia,1-Jun-66,1.10
Nova Scotia,20-Feb-65,1.05
Nova Scotia,20-Feb-65,0.80
Nunavut,1-Jan-11,11.00
Nunavut,5-Sep-08,10.00
Nunavut,3-Mar-03,8.50
Nunavut,1-Apr-99,7.00
Nunavut,1-Apr-99,6.50
Ontario,31-Mar-10,10.25
Ontario,31-Mar-09,9.50
Ontario,31-Mar-08,8.75
Ontario,1-Feb-07,8.00
Ontario,1-Feb-06,7.75
Ontario,1-Feb-05,7.45
Ontario,1-Feb-04,7.15
Ontario,1-Jan-95,6.85
Ontario,1-Jan-94,6.70
Ontario,1-Nov-92,6.35
Ontario,1-Nov-91,6.00
Ontario,1-Oct-90,5.40
Ontario,1-Oct-89,5.00
Ontario,1-Oct-88,4.75
Ontario,1-Oct-87,4.55
Ontario,1-Oct-86,4.35
Ontario,1-Oct-84,4.00
Ontario,1-Mar-84,3.85
Ontario,1-Oct-81,3.50
Ontario,31-Mar-81,3.30
Ontario,1-Jan-79,3.00
Ontario,1-Aug-78,2.85
Ontario,15-Mar-76,2.65
Ontario,1-May-75,2.40
Ontario,1-Oct-74,2.25
Ontario,1-Jan-74,2.00
Ontario,1-Feb-73,1.80
Ontario,1-Apr-71,1.65
Ontario,1-Oct-70,1.50
Ontario,1-Jan-69,1.30
Ontario,27-Dec-65,1.00
Ontario,30-Mar-65,1.00
Ontario,1-Jan-65,1.00