Years,CPI,Change from previous year
1965,16.8,2.4
1966,17.5,4.2
1967,18.1,3.4
1968,18.8,3.9
1969,19.7,4.8
1970,20.3,3
1971,20.9,3
1972,21.9,4.8
1973,23.6,7.8
1974,26.2,11
1975,29,10.7
1976,31.1,7.2
1977,33.6,8
1978,36.6,8.9
1979,40,9.3
1980,44,10
1981,49.5,12.5
1982,54.9,10.9
1983,58.1,5.8
1984,60.6,4.3
1985,63,4
1986,65.6,4.1
1987,68.5,4.4
1988,71.2,3.9
1989,74.8,5.1
1990,78.4,4.8
1991,82.8,5.6
1992,84,1.4
1993,85.6,1.9
1994,85.7,0.1
1995,87.6,2.2
1996,88.9,1.5
1997,90.4,1.7
1998,91.3,1
1999,92.9,1.8
2000,95.4,2.7
2001,97.8,2.5
2002,100,2.2
2003,102.8,2.8
2004,104.7,1.8
2005,107,2.2
2006,109.1,2
2007,111.5,2.2
2008,114.1,2.3
2009,114.4,0.3
2010,116.5,1.8
2011,119.9,2.9
2012,121.7,1.5
2013,122.8,0.9
2014,125.2,2
2015,126.6,1.1