,Penalized Coefficients
LotFrontage,0
LotArea,4133.791
Street,23007.538
Alley,188.352
LotShape,0
LandSlope,71.63
OverallQual,31516.719
OverallCond,19431.582
YearBuilt,88035.074
YearRemodAdd,0
MasVnrArea,82.761
ExterQual,-28505.694
ExterCond,0
BsmtQual,-16601.681
BsmtCond,1579.278
BsmtExposure,-2962.805
BsmtFinType1,0
BsmtFinSF1,1053.93
BsmtFinType2,0
BsmtFinSF2,-21.962
BsmtUnfSF,-549.753
TotalBsmtSF,0
HeatingQC,-792.506
CentralAir,0
1stFlrSF,4578.259
2ndFlrSF,0
LowQualFinSF,-148.038
GrLivArea,12459.683
BsmtFullBath,3644.043
BsmtHalfBath,0
FullBath,5637.047
HalfBath,2442.702
BedroomAbvGr,-8694.795
KitchenAbvGr,-24627.677
KitchenQual,-12059.25
TotRmsAbvGrd,7073.248
Functional,12874.116
Fireplaces,5929.846
FireplaceQu,-456.421
GarageYrBlt,0
GarageFinish,-1860.315
GarageCars,11554.597
GarageArea,0
GarageQual,0
GarageCond,0
PavedDrive,0
WoodDeckSF,259.48
OpenPorchSF,0
EnclosedPorch,-76.212
3SsnPorch,0
ScreenPorch,474.418
PoolArea,0
PoolQC,-69730.737
Fence,0
MiscVal,0
YrSold,0
TotalSF,13372.506
Age,-111.02
RemodAge,-1532.231
GarageAge,0
MSSubClass_0,-8067.729
MSSubClass_1,0
MSSubClass_10,4483.185
MSSubClass_11,0
MSSubClass_12,0
MSSubClass_13,0
MSSubClass_14,0
MSSubClass_15,0
MSSubClass_2,0
MSSubClass_3,1077.559
MSSubClass_4,0
MSSubClass_5,0
MSSubClass_6,0
MSSubClass_7,0
MSSubClass_8,409.619
MSSubClass_9,0
MSZoning_C (all),-12597.665
MSZoning_FV,4010.748
MSZoning_RH,0
MSZoning_RL,0
MSZoning_RM,0
LandContour_Bnk,0
LandContour_HLS,6691.542
LandContour_Low,0
LandContour_Lvl,0
LotConfig_Corner,0
LotConfig_CulDSac,5377.529
LotConfig_FR2,-4576.587
LotConfig_FR3,-5289.969
LotConfig_Inside,0
Neighborhood_Blmngtn,0
Neighborhood_Blueste,0
Neighborhood_BrDale,13467.739
Neighborhood_BrkSide,9045.258
Neighborhood_ClearCr,0
Neighborhood_CollgCr,0
Neighborhood_Crawfor,15235.033
Neighborhood_Edwards,-1044.605
Neighborhood_Gilbert,-5307.738
Neighborhood_IDOTRR,0
Neighborhood_MeadowV,0
Neighborhood_Mitchel,-3567.939
Neighborhood_NAmes,0
Neighborhood_NPkVill,4754.321
Neighborhood_NWAmes,-5749.844
Neighborhood_NoRidge,49727.605
Neighborhood_NridgHt,24946.282
Neighborhood_OldTown,0
Neighborhood_SWISU,0
Neighborhood_Sawyer,0
Neighborhood_SawyerW,0
Neighborhood_Somerst,4527.184
Neighborhood_StoneBr,41939.787
Neighborhood_Timber,0
Neighborhood_Veenker,0
Condition1_Artery,-3594.159
Condition1_Feedr,0
Condition1_Norm,6145.095
Condition1_PosA,0
Condition1_PosN,0
Condition1_RRAe,-8120.068
Condition1_RRAn,0
Condition1_RRNe,0
Condition1_RRNn,0
Condition2_Artery,0
Condition2_Feedr,0
Condition2_Norm,0
Condition2_PosA,22398.941
Condition2_PosN,0
Condition2_RRAe,0
Condition2_RRAn,0
Condition2_RRNn,0
BldgType_1Fam,5717.927
BldgType_2fmCon,-2958.801
BldgType_Duplex,0
BldgType_Twnhs,0
BldgType_TwnhsE,0
HouseStyle_1.5Fin,0
HouseStyle_1.5Unf,0
HouseStyle_1Story,0
HouseStyle_2.5Fin,0
HouseStyle_2.5Unf,-133.973
HouseStyle_2Story,0
HouseStyle_SFoyer,0
HouseStyle_SLvl,0
RoofStyle_Flat,0
RoofStyle_Gable,-574.706
RoofStyle_Gambrel,0
RoofStyle_Hip,3277.059
RoofStyle_Mansard,0
RoofStyle_Shed,0
RoofMatl_CompShg,0
RoofMatl_Membran,0
RoofMatl_Metal,0
RoofMatl_Roll,0
RoofMatl_Tar&Grv,-2558.357
RoofMatl_WdShake,0
RoofMatl_WdShngl,87405.295
Exterior1st_AsbShng,0
Exterior1st_AsphShn,0
Exterior1st_BrkComm,0
Exterior1st_BrkFace,13910.189
Exterior1st_CBlock,0
Exterior1st_CemntBd,5218.096
Exterior1st_HdBoard,-70.882
Exterior1st_ImStucc,-17982.56
Exterior1st_MetalSd,609.525
Exterior1st_Plywood,0
Exterior1st_Stone,0
Exterior1st_Stucco,0
Exterior1st_VinylSd,0
Exterior1st_Wd Sdng,0
Exterior1st_WdShing,0
Exterior2nd_AsbShng,0
Exterior2nd_AsphShn,0
Exterior2nd_Brk Cmn,0
Exterior2nd_BrkFace,0
Exterior2nd_CBlock,0
Exterior2nd_CmentBd,0
Exterior2nd_HdBoard,0
Exterior2nd_ImStucc,13604.209
Exterior2nd_MetalSd,0
Exterior2nd_Other,0
Exterior2nd_Plywood,-1532.738
Exterior2nd_Stone,0
Exterior2nd_Stucco,0
Exterior2nd_VinylSd,0
Exterior2nd_Wd Sdng,0
Exterior2nd_Wd Shng,-1506.354
MasVnrType_BrkCmn,-5445.049
MasVnrType_BrkFace,0
MasVnrType_None,0
MasVnrType_Stone,5957.754
Foundation_BrkTil,-1903.093
Foundation_CBlock,0
Foundation_PConc,0
Foundation_Slab,8763.297
Foundation_Stone,0
Foundation_Wood,-2385.432
Heating_Floor,4803.837
Heating_GasA,0
Heating_GasW,0
Heating_Grav,0
Heating_OthW,-20543.664
Heating_Wall,0
Electrical_FuseA,0
Electrical_FuseF,0
Electrical_FuseP,0
Electrical_Mix,0
Electrical_SBrkr,0
GarageType_2Types,-1014.647
GarageType_Attchd,-2294.518
GarageType_Basment,-2174.215
GarageType_BuiltIn,4982.793
GarageType_CarPort,-10006.583
GarageType_Detchd,0
GarageType_None,4302.183
MiscFeature_Gar2,0
MiscFeature_None,0
MiscFeature_Othr,-45.857
MiscFeature_Shed,0
MiscFeature_TenC,-35993.482
MoSold_0,4464.593
MoSold_1,-674.058
MoSold_10,0
MoSold_11,0
MoSold_2,0
MoSold_3,0
MoSold_4,0
MoSold_5,0
MoSold_6,0
MoSold_7,2161.501
MoSold_8,0
MoSold_9,1390.883
SaleType_COD,0
SaleType_CWD,0
SaleType_Con,26534.775
SaleType_ConLD,0
SaleType_ConLI,0
SaleType_ConLw,0
SaleType_New,15467.597
SaleType_Oth,0
SaleType_WD,0
SaleCondition_Abnorml,-5337.124
SaleCondition_AdjLand,0
SaleCondition_Alloca,0
SaleCondition_Family,-3063.385
SaleCondition_Normal,0
SaleCondition_Partial,0